Product ID,Product Name,Category,MRP (Maximum Retail Price),Selling Price,Discount Offered (%),Units Sold,Profit Margin (%),Region,Season,Customer Segment,Return Rate (%),Date of Sale
PROD00033,Fugit Snack,Grocery,49771.09,27864.41,44.01,21,26.2,Delhi,Festive,Mid Income,11.24,2024-09-01
PROD00034,Alias Mixer,Apparel,48373.06,46687.21,3.49,13,8.52,West Bengal,Non-Festive,Mid Income,7.18,2024-05-19
PROD00035,Ipsam Phone,Grocery,43013.69,34229.59,20.42,18,5.08,Maharashtra,Non-Festive,Mid Income,13.28,2024-09-26
PROD00036,Labore Snack,Electronics,45814.84,28809.61,37.12,15,20.75,Tamil Nadu,Non-Festive,High Income,11.37,2025-04-19
PROD00037,Incidunt Rice,Electronics,28794.53,25098.07,12.84,19,11.8,South,Non-Festive,High Income,6.03,2024-08-01
PROD00038,Quia Rice,Electronics,18452.63,9526.97,48.37,20,14.22,Karnataka,Non-Festive,Mid Income,6.33,2024-05-28
PROD00039,Sint Phone,Electronics,17223.31,11733.41,31.87,17,16.19,West,Non-Festive,Mid Income,5.61,2025-04-22
PROD00040,Recusandae Shoes,Apparel,46692.87,41617.53,10.87,20,11.65,East,Festive,High Income,7.6,2025-03-02
PROD00041,Quo Laptop,Grocery,47947.39,28921.58,39.68,23,7.97,South,Non-Festive,Low Income,10.98,2025-01-24
PROD00042,Non Phone,Apparel,22080.2,11210.47,49.23,23,22.7,West,Non-Festive,Low Income,4.77,2024-07-05
PROD00043,Hic Oil,Electronics,30393.79,26608.34,12.45,22,17.32,North,Non-Festive,High Income,3.42,2024-05-07
PROD00044,Magnam Laptop,Grocery,40282.96,23716.49,41.13,19,24.22,Delhi,Festive,Low Income,0.51,2024-11-14
PROD00045,Rem Rice,Grocery,35155.15,17977.22,48.86,19,27.67,Central,Non-Festive,Mid Income,11.96,2025-04-24
PROD00046,Explicabo TV,Electronics,43496.96,38696.4,11.04,18,10.65,East,Festive,High Income,5.43,2024-07-03
PROD00047,Dolorum Snack,Electronics,30470.76,26897.61,11.73,15,27.37,Karnataka,Non-Festive,Mid Income,11.31,2024-05-06
PROD00048,Atque Shirt,Grocery,29165.83,18708.23,35.86,26,28.91,Central,Festive,High Income,1.67,2024-10-16
PROD00049,Voluptatum Mixer,Apparel,18851.47,9890.81,47.53,30,12.44,East,Festive,Low Income,7.98,2025-03-30
PROD00050,Cupiditate Shoes,Grocery,3756.58,2450.65,34.76,15,26.36,Delhi,Festive,Mid Income,5.98,2024-12-07
PROD00051,Omnis Phone,Grocery,2871.55,2147.04,25.23,29,11.82,South,Non-Festive,Mid Income,7.12,2025-04-02
PROD00052,Numquam Phone,Electronics,7672.37,7268.69,5.26,11,25.93,South,Festive,Mid Income,13.88,2024-05-02
PROD00053,Tempora TV,Grocery,2982.88,1604.23,46.22,18,27.68,South,Festive,Mid Income,0.98,2024-08-06
PROD00054,Tempora Oil,Apparel,26803.69,25877.61,3.46,21,29.2,West Bengal,Non-Festive,Mid Income,6.3,2025-04-12
PROD00055,Doloremque Shirt,Grocery,20238.5,18097.91,10.58,30,19.34,North,Festive,Low Income,12.43,2025-04-11
PROD00056,Cum Phone,Grocery,1411.15,1093.11,22.54,16,18.68,West,Festive,Low Income,9.27,2025-04-02
PROD00057,Possimus Shirt,Electronics,1192.48,893.99,25.03,20,7.53,Delhi,Non-Festive,High Income,14.74,2024-12-28
PROD00058,Labore Oil,Electronics,26198.48,25475.68,2.76,28,18.49,West Bengal,Festive,Mid Income,11.16,2025-03-30
PROD00059,Asperiores TV,Electronics,27500.75,26369.12,4.11,15,25.98,Central,Festive,Mid Income,1.43,2024-11-09
PROD00060,Voluptas TV,Electronics,1960.56,1837.9,6.26,19,5.23,North,Non-Festive,High Income,5.67,2025-04-16
PROD00061,Recusandae Laptop,Grocery,33532.39,32866.84,1.98,22,27.72,West Bengal,Festive,Mid Income,4.94,2024-08-20
PROD00062,Reprehenderit TV,Apparel,6380.82,3262.36,48.87,28,19.4,Central,Festive,High Income,7.36,2025-03-16
PROD00063,Cumque Jeans,Apparel,24776.41,21828.65,11.9,12,21.06,East,Non-Festive,Low Income,9.32,2024-05-01
PROD00064,Optio Oil,Electronics,8024.77,4495.79,43.98,20,23.25,West Bengal,Non-Festive,High Income,3.78,2024-12-09
PROD00065,Dicta Snack,Apparel,2049.17,1245.55,39.22,24,28.21,Central,Non-Festive,Low Income,9.43,2025-02-27
PROD00066,Facilis Snack,Grocery,10697.02,6921.59,35.29,23,22.36,South,Festive,Mid Income,3.96,2024-12-07
PROD00067,Id Snack,Apparel,23260.87,15609.02,32.9,17,16.0,East,Non-Festive,Mid Income,1.86,2025-02-02
PROD00068,Nisi Shoes,Grocery,37221.07,27941.52,24.93,25,26.47,Delhi,Festive,Low Income,7.69,2024-12-17
PROD00069,Molestiae Mixer,Electronics,13351.34,9587.4,28.19,24,28.77,West Bengal,Non-Festive,Mid Income,7.32,2025-04-14
PROD00070,Quo Shirt,Electronics,34284.72,19016.73,44.53,23,20.53,Tamil Nadu,Festive,Low Income,6.1,2024-09-03
PROD00071,Beatae Shirt,Apparel,43148.41,26373.93,38.88,22,24.13,West Bengal,Non-Festive,High Income,7.98,2025-01-29
PROD00072,Vel Oil,Apparel,13561.91,11996.68,11.54,17,18.81,West Bengal,Festive,Low Income,7.5,2024-05-22
PROD00073,Facilis TV,Apparel,26159.08,24795.79,5.21,16,7.78,West Bengal,Festive,Mid Income,8.77,2025-04-23
PROD00074,Saepe Rice,Grocery,20530.81,17515.5,14.69,11,20.27,North,Non-Festive,Mid Income,14.51,2024-08-14
PROD00075,Repellat Phone,Electronics,1470.57,1373.13,6.63,15,19.24,West,Non-Festive,Low Income,10.6,2024-10-04
PROD00076,Libero Phone,Grocery,19654.48,10274.74,47.72,24,17.51,East,Non-Festive,Mid Income,12.98,2024-07-07
PROD00077,Fuga Rice,Grocery,18922.3,15301.2,19.14,21,19.11,West,Non-Festive,Mid Income,7.46,2025-03-20
PROD00078,Rerum Phone,Apparel,31132.65,28436.12,8.66,21,13.48,Karnataka,Non-Festive,High Income,10.39,2024-06-20
PROD00079,Perferendis Jeans,Grocery,43334.92,29849.79,31.12,22,25.04,Karnataka,Festive,Mid Income,0.97,2025-03-10
PROD00080,Reiciendis Snack,Electronics,33626.24,26930.74,19.91,25,11.08,Tamil Nadu,Festive,Low Income,12.2,2024-11-05
PROD00081,Repellendus Mixer,Grocery,17833.63,15890.1,10.9,19,15.8,Maharashtra,Non-Festive,High Income,14.19,2025-01-24
PROD00082,Unde Mixer,Grocery,22498.64,21849.88,2.88,28,22.84,Tamil Nadu,Festive,High Income,14.61,2024-12-02
PROD00083,Doloremque Phone,Electronics,44369.23,42317.87,4.62,15,19.06,Maharashtra,Festive,High Income,2.78,2024-10-01
PROD00084,Modi Laptop,Electronics,31986.21,22977.01,28.17,22,8.26,Maharashtra,Festive,Low Income,14.47,2024-12-26
PROD00085,Possimus Rice,Apparel,19553.08,12217.29,37.52,21,17.39,North,Non-Festive,Mid Income,8.14,2024-11-23
PROD00086,Itaque Shoes,Apparel,30048.21,16139.12,46.29,23,23.67,Maharashtra,Non-Festive,Low Income,12.81,2025-03-02
PROD00087,Consequuntur Rice,Grocery,32252.18,22811.42,29.27,23,6.76,East,Festive,Mid Income,11.25,2025-01-10
PROD00088,Iure Shirt,Apparel,24165.54,16278.95,32.64,16,26.29,Karnataka,Festive,High Income,13.59,2024-11-13
PROD00089,Commodi Rice,Grocery,43282.5,38045.62,12.1,22,17.78,West Bengal,Festive,Low Income,9.22,2025-01-03
PROD00090,Totam Phone,Grocery,40654.86,35077.76,13.72,16,18.21,Delhi,Festive,Low Income,4.9,2024-10-12
PROD00091,Architecto Mixer,Grocery,26268.1,20783.79,20.88,24,19.1,South,Festive,High Income,11.4,2024-08-29
PROD00092,Vitae Rice,Apparel,47921.86,27106.16,43.44,28,11.09,West,Festive,High Income,4.31,2025-02-05
PROD00093,Voluptatum Snack,Apparel,47665.45,37289.88,21.77,15,14.52,Central,Festive,Low Income,4.0,2024-05-01
PROD00094,Quis Rice,Apparel,48306.55,42518.59,11.98,17,21.72,North,Festive,Mid Income,2.57,2025-01-07
PROD00095,Ipsam Shoes,Apparel,11103.29,5998.57,45.97,18,14.87,West,Festive,Mid Income,1.16,2024-07-28
PROD00096,Sunt TV,Electronics,5258.37,4176.63,20.57,19,28.45,West Bengal,Non-Festive,Mid Income,12.07,2024-06-07
PROD00097,Dolores Jeans,Apparel,30992.88,29760.75,3.98,18,27.66,West Bengal,Festive,High Income,4.53,2025-02-13
PROD00098,Rerum Laptop,Electronics,36405.66,26476.47,27.27,20,9.4,Tamil Nadu,Festive,Low Income,5.97,2025-03-02
PROD00099,Molestias Phone,Grocery,15419.16,10589.6,31.32,19,9.96,Karnataka,Festive,Low Income,11.62,2024-05-29
PROD00100,A Phone,Electronics,26930.16,14065.84,47.77,16,15.28,West,Non-Festive,Mid Income,0.54,2024-09-15
PROD00101,Rem Oil,Apparel,32428.32,19350.0,40.33,25,19.58,Karnataka,Festive,Low Income,4.96,2024-10-08
PROD00102,In Laptop,Electronics,23221.85,22047.83,5.06,16,27.06,Tamil Nadu,Non-Festive,Mid Income,13.82,2025-03-12
PROD00103,Voluptatibus TV,Apparel,27112.93,20173.04,25.6,21,8.14,Central,Festive,High Income,3.05,2025-01-14
PROD00104,Natus Mixer,Grocery,3852.19,3016.05,21.71,22,24.88,Central,Non-Festive,High Income,1.25,2024-11-25
PROD00105,Voluptatem Snack,Grocery,49705.63,39927.45,19.67,13,8.04,West,Festive,Mid Income,14.56,2025-01-01
PROD00106,Nostrum TV,Apparel,18995.92,17667.98,6.99,13,18.88,North,Non-Festive,Mid Income,10.12,2024-11-02
PROD00107,Impedit Shoes,Grocery,10341.1,8400.4,18.77,20,19.49,Karnataka,Festive,Mid Income,12.27,2025-04-06
PROD00108,Dignissimos Rice,Apparel,24052.76,18399.28,23.5,16,29.1,South,Festive,Low Income,2.44,2025-02-03
PROD00109,Blanditiis Shirt,Electronics,15941.41,14196.84,10.94,16,23.8,Karnataka,Non-Festive,High Income,0.17,2025-01-05
PROD00110,Distinctio Mixer,Electronics,19637.04,13982.99,28.79,16,23.08,West,Non-Festive,High Income,8.41,2025-03-14
PROD00111,Facere Rice,Apparel,28187.09,25068.45,11.06,20,5.63,Maharashtra,Festive,Low Income,9.9,2025-02-25
PROD00112,Iusto Snack,Apparel,13993.86,13145.0,6.07,20,23.91,West,Festive,High Income,3.36,2025-01-05
PROD00113,Earum TV,Electronics,33357.38,16945.8,49.2,16,21.95,East,Non-Festive,Low Income,0.28,2024-09-19
PROD00114,Tempore Shirt,Apparel,21643.5,14193.8,34.42,24,21.98,West Bengal,Non-Festive,High Income,14.54,2025-01-25
PROD00115,Dignissimos TV,Electronics,4298.87,3020.39,29.74,13,6.27,West,Festive,Mid Income,5.49,2024-10-19
PROD00116,Facere TV,Apparel,44357.3,37093.71,16.38,19,14.8,West Bengal,Festive,Mid Income,10.78,2025-01-31
PROD00117,Neque Rice,Apparel,23921.59,21429.68,10.42,19,7.87,Tamil Nadu,Festive,Mid Income,7.08,2024-07-04
PROD00118,Illo Shirt,Grocery,46154.31,43119.76,6.57,25,27.8,North,Non-Festive,Low Income,3.85,2024-09-27
PROD00119,Molestias Phone,Electronics,19094.04,18496.17,3.13,12,14.17,East,Non-Festive,High Income,14.3,2024-10-11
PROD00120,Tenetur Oil,Apparel,27178.0,17669.6,34.99,20,26.91,Maharashtra,Non-Festive,Mid Income,8.26,2024-08-08
PROD00121,Sequi Shoes,Apparel,43690.73,37656.98,13.81,16,12.94,Maharashtra,Non-Festive,High Income,5.1,2025-04-21
PROD00122,Incidunt Shoes,Electronics,23164.56,19479.94,15.91,22,21.78,West,Festive,High Income,11.05,2025-03-25
PROD00123,Fugit Shirt,Grocery,31693.11,29141.97,8.05,28,5.24,Karnataka,Festive,Mid Income,9.32,2024-07-23
PROD00124,Iure Rice,Electronics,12428.22,11700.15,5.86,14,22.44,East,Festive,High Income,10.56,2024-05-29
PROD00125,Sed Shoes,Apparel,11982.4,9016.79,24.75,16,22.43,North,Non-Festive,Mid Income,12.45,2024-10-12
PROD00126,Quidem Snack,Apparel,27178.16,17291.9,36.38,14,8.45,Tamil Nadu,Festive,Low Income,2.44,2025-04-21
PROD00127,Vero TV,Apparel,30698.08,15488.22,49.55,20,16.19,South,Non-Festive,High Income,0.92,2024-12-04
PROD00128,Rerum Shirt,Grocery,32823.24,27251.54,16.97,13,22.08,Delhi,Non-Festive,Mid Income,6.94,2025-01-05
PROD00129,Architecto Rice,Grocery,38455.09,25691.1,33.19,20,18.27,Central,Festive,High Income,0.34,2024-07-06
PROD00130,Deserunt Laptop,Grocery,46136.7,43459.25,5.8,23,28.13,Karnataka,Festive,Low Income,3.15,2024-05-08
PROD00131,Reiciendis Shoes,Grocery,12083.18,8726.01,27.78,26,10.27,South,Festive,Low Income,2.48,2024-08-22
PROD00132,Non Shoes,Grocery,31011.25,22978.06,25.9,16,29.13,Karnataka,Non-Festive,High Income,11.48,2024-12-10
PROD00133,Repellendus Shirt,Apparel,22212.05,21856.02,1.6,17,17.32,Delhi,Non-Festive,Low Income,11.75,2024-05-21
PROD00134,Quisquam TV,Grocery,4552.48,3453.09,24.15,21,29.99,South,Festive,Mid Income,2.0,2024-12-29
PROD00135,Aspernatur Mixer,Grocery,22732.56,17101.32,24.77,16,15.66,West,Non-Festive,High Income,4.68,2024-08-07
PROD00136,Id Snack,Grocery,39555.51,32197.81,18.6,22,26.72,West,Festive,Mid Income,10.65,2024-10-12
PROD00137,Asperiores Mixer,Apparel,4048.16,2887.26,28.68,25,25.9,South,Non-Festive,Low Income,3.04,2024-06-24
PROD00138,Qui Mixer,Apparel,30350.28,29658.82,2.28,20,18.47,South,Festive,High Income,5.22,2025-01-05
PROD00139,Neque Rice,Apparel,20562.56,11880.57,42.22,12,24.07,Tamil Nadu,Festive,Low Income,5.51,2025-01-24
PROD00140,Itaque Jeans,Apparel,32737.88,24217.64,26.03,24,23.57,Karnataka,Non-Festive,Low Income,1.08,2024-05-15
PROD00141,Id Laptop,Apparel,41086.35,40425.9,1.61,25,8.32,Maharashtra,Non-Festive,High Income,2.98,2024-10-16
PROD00142,Voluptatem Mixer,Apparel,27128.12,13784.23,49.19,22,23.36,North,Festive,Low Income,3.24,2024-06-23
PROD00143,Tempore Rice,Grocery,15267.32,12353.15,19.09,23,23.17,Delhi,Festive,Mid Income,10.95,2024-09-26
PROD00144,Nostrum Phone,Apparel,4598.52,2329.78,49.34,14,15.76,Tamil Nadu,Non-Festive,Low Income,4.32,2025-04-04
PROD00145,Quasi Rice,Apparel,14506.17,13198.21,9.02,16,8.84,Tamil Nadu,Festive,Low Income,11.14,2025-03-27
PROD00146,Non TV,Apparel,18296.16,18021.97,1.5,18,16.28,Maharashtra,Festive,High Income,7.75,2024-09-10
PROD00147,Ullam Shoes,Electronics,32099.57,20649.91,35.67,16,23.67,Tamil Nadu,Non-Festive,Mid Income,1.21,2024-12-14
PROD00148,Repellat Oil,Electronics,19478.76,10270.9,47.27,20,26.99,Tamil Nadu,Non-Festive,Mid Income,3.28,2024-11-23
PROD00149,Magni Shoes,Apparel,20194.83,19411.35,3.88,27,14.22,South,Non-Festive,High Income,0.67,2024-11-10
PROD00150,Distinctio Snack,Electronics,14595.52,9227.83,36.78,29,13.45,West Bengal,Non-Festive,High Income,14.48,2025-04-25
PROD00151,Rerum Oil,Electronics,18207.86,17577.82,3.46,20,9.92,East,Non-Festive,Mid Income,12.39,2025-03-20
PROD00152,Quo Phone,Grocery,13374.78,8065.61,39.7,29,14.17,Karnataka,Festive,Low Income,4.03,2024-09-16
PROD00153,Aliquam Shoes,Electronics,36733.03,26057.21,29.06,18,10.97,Karnataka,Festive,Mid Income,5.28,2024-12-06
PROD00154,Doloremque Rice,Grocery,49149.78,29936.56,39.09,20,13.42,West Bengal,Non-Festive,High Income,10.64,2025-03-05
PROD00155,Cumque Shirt,Grocery,36758.85,29931.2,18.57,19,18.51,East,Non-Festive,Low Income,6.85,2024-07-02
PROD00156,Excepturi Mixer,Grocery,3774.08,2065.58,45.27,14,19.2,North,Festive,High Income,9.0,2024-09-21
PROD00157,Reprehenderit Laptop,Electronics,31672.16,26879.18,15.13,22,23.54,West,Festive,High Income,0.4,2025-03-20
PROD00158,Ipsam Laptop,Apparel,35174.41,30193.65,14.16,26,29.58,North,Festive,Low Income,13.87,2024-11-13
PROD00159,Ducimus Shirt,Electronics,38934.41,20233.55,48.03,19,7.24,East,Festive,Mid Income,3.88,2024-09-25
PROD00160,Facilis Jeans,Grocery,38158.05,35814.84,6.14,20,10.89,Karnataka,Festive,High Income,9.85,2025-01-31
PROD00161,Occaecati Jeans,Apparel,25468.58,17922.79,29.63,20,15.25,Tamil Nadu,Festive,Mid Income,14.25,2024-09-25
PROD00162,Eum Mixer,Grocery,13194.89,9407.91,28.7,17,29.19,Delhi,Non-Festive,Mid Income,9.91,2024-05-25
PROD00163,Esse Phone,Apparel,6117.51,5393.39,11.84,12,12.03,Tamil Nadu,Festive,Low Income,11.31,2024-06-30
PROD00164,Doloremque Shirt,Electronics,517.79,435.7,15.85,26,26.93,Central,Non-Festive,Mid Income,14.49,2024-07-15
PROD00165,Ea Mixer,Grocery,175.71,150.53,14.33,28,15.15,North,Festive,Low Income,10.11,2024-06-02
PROD00166,Inventore Oil,Apparel,46816.72,27011.67,42.3,15,28.97,Delhi,Non-Festive,High Income,7.59,2025-02-18
PROD00167,Modi Oil,Apparel,30436.91,24508.51,19.48,12,5.91,Karnataka,Non-Festive,Mid Income,7.97,2024-07-05
PROD00168,Architecto Oil,Grocery,28752.39,23595.63,17.94,25,11.05,West Bengal,Non-Festive,Low Income,0.63,2024-05-28
PROD00169,Doloremque TV,Electronics,18895.21,12879.72,31.84,15,5.98,East,Non-Festive,Mid Income,1.24,2024-09-17
PROD00170,Odit Snack,Grocery,39946.47,30049.6,24.78,23,23.79,West,Non-Festive,High Income,8.4,2025-03-04
PROD00171,Rerum Shoes,Grocery,11086.97,8725.59,21.3,14,21.3,North,Non-Festive,High Income,8.05,2024-06-21
PROD00172,Suscipit Snack,Electronics,36930.23,23830.7,35.47,24,10.8,West,Non-Festive,Low Income,7.62,2025-04-18
PROD00173,Doloremque Phone,Apparel,18203.57,14448.0,20.63,19,6.38,Maharashtra,Non-Festive,Mid Income,2.09,2024-07-24
PROD00174,Occaecati Snack,Apparel,35417.12,31483.02,11.11,18,24.81,North,Festive,Mid Income,13.93,2024-05-04
PROD00175,Cum Shoes,Electronics,35349.13,22237.32,37.09,18,24.0,Maharashtra,Festive,High Income,13.62,2024-05-03
PROD00176,Modi Jeans,Grocery,15833.76,15296.88,3.39,21,27.98,Tamil Nadu,Non-Festive,Low Income,4.47,2025-04-20
PROD00177,Neque TV,Grocery,46719.42,23367.26,49.98,18,9.18,Tamil Nadu,Festive,Low Income,6.02,2024-06-11
PROD00178,Deleniti Mixer,Electronics,25432.33,17845.47,29.83,14,19.35,Karnataka,Non-Festive,Mid Income,5.78,2025-03-13
PROD00179,Architecto Shoes,Electronics,12961.0,11559.25,10.82,22,27.95,Tamil Nadu,Non-Festive,Low Income,3.36,2024-11-17
PROD00180,Accusamus Shoes,Electronics,33722.28,30380.72,9.91,17,10.14,South,Non-Festive,Mid Income,4.96,2024-06-26
PROD00181,Incidunt Shoes,Apparel,37568.14,32426.64,13.69,16,20.18,West Bengal,Festive,Low Income,14.91,2024-08-05
PROD00182,Eligendi Shirt,Grocery,47539.15,26639.23,43.96,8,20.18,East,Non-Festive,Low Income,8.55,2024-08-28
PROD00183,Reiciendis Mixer,Apparel,3756.36,2203.69,41.33,13,6.05,Central,Festive,High Income,13.48,2024-11-16
PROD00184,Ullam Snack,Apparel,27043.13,25088.88,7.23,21,24.56,West Bengal,Festive,High Income,10.98,2024-08-31
PROD00185,Et TV,Apparel,24569.72,17198.3,30.0,21,24.74,Tamil Nadu,Non-Festive,Mid Income,13.17,2024-05-05
PROD00186,Ipsa Shoes,Grocery,15581.33,8484.79,45.55,26,9.79,East,Festive,Mid Income,5.49,2024-07-30
PROD00187,Ullam Laptop,Electronics,38413.87,24332.61,36.66,29,6.06,Maharashtra,Festive,Mid Income,9.63,2025-03-05
PROD00188,Laudantium Rice,Apparel,9793.91,6917.16,29.37,15,23.0,Delhi,Non-Festive,Low Income,5.58,2024-11-08
PROD00189,Suscipit Laptop,Grocery,16455.09,14738.57,10.43,16,8.37,Delhi,Festive,High Income,12.26,2024-08-28
PROD00190,Temporibus TV,Grocery,38330.98,20247.8,47.18,22,22.24,Tamil Nadu,Non-Festive,Low Income,11.49,2024-10-23
PROD00191,Nisi Jeans,Apparel,23915.77,13251.68,44.59,20,8.76,South,Non-Festive,Mid Income,11.71,2024-09-06
PROD00192,Error Rice,Apparel,6891.15,5784.35,16.06,22,26.51,West,Festive,Mid Income,2.94,2024-11-15
PROD00193,Facere Oil,Electronics,44723.77,33594.6,24.88,19,20.29,Maharashtra,Festive,High Income,12.87,2024-05-19
PROD00194,Animi Shoes,Electronics,36567.31,35070.96,4.09,15,19.42,Central,Festive,High Income,14.97,2024-06-27
PROD00195,Adipisci Mixer,Apparel,28180.83,19283.36,31.57,11,18.36,West Bengal,Non-Festive,Mid Income,12.45,2024-10-26
PROD00196,Adipisci Oil,Apparel,30505.35,29675.92,2.72,26,6.03,Maharashtra,Non-Festive,Low Income,7.25,2024-11-10
PROD00197,Pariatur Phone,Grocery,31336.72,17140.92,45.3,19,25.97,Tamil Nadu,Non-Festive,Low Income,4.58,2024-09-09
PROD00198,Adipisci Snack,Apparel,25014.78,14003.37,44.02,20,16.33,Central,Festive,Mid Income,1.95,2025-01-19
PROD00199,Amet Laptop,Electronics,37262.58,32018.75,14.07,18,14.25,Delhi,Non-Festive,Mid Income,6.17,2024-07-08
PROD00200,Quae Shoes,Grocery,35794.7,22513.99,37.1,18,20.78,South,Festive,Low Income,4.05,2025-01-29
PROD00201,Excepturi Jeans,Electronics,239.23,186.68,21.97,17,17.49,Central,Festive,High Income,6.48,2024-11-13
PROD00202,Est Laptop,Grocery,5616.49,3242.51,42.27,20,12.19,Delhi,Non-Festive,High Income,0.79,2024-09-02
PROD00203,Distinctio TV,Electronics,1363.02,1321.13,3.07,25,8.7,West,Non-Festive,High Income,4.4,2024-07-29
PROD00204,Accusantium Rice,Electronics,8528.37,6371.94,25.29,20,7.53,Tamil Nadu,Non-Festive,High Income,14.42,2024-07-13
PROD00205,Doloremque Snack,Apparel,3706.85,2970.32,19.87,16,10.91,Delhi,Non-Festive,High Income,1.79,2024-09-26
PROD00206,Dolores Rice,Electronics,9770.27,8498.34,13.02,21,26.75,East,Festive,Mid Income,1.11,2025-04-07
PROD00207,Eos Jeans,Grocery,26971.74,24149.41,10.46,15,7.75,Delhi,Non-Festive,Mid Income,10.34,2025-01-15
PROD00208,Similique Oil,Apparel,33517.87,22179.9,33.83,26,25.38,Tamil Nadu,Festive,Mid Income,12.42,2025-03-24
PROD00209,Voluptate Phone,Apparel,45937.33,41300.01,10.09,23,26.71,Central,Non-Festive,High Income,1.45,2025-04-14
PROD00210,Pariatur Shoes,Grocery,36990.83,25298.1,31.61,24,25.63,Central,Non-Festive,Mid Income,14.35,2025-02-02
PROD00211,Dignissimos Mixer,Apparel,1671.73,1345.98,19.49,19,26.59,Karnataka,Non-Festive,Low Income,0.55,2024-11-09
