Transaction ID,Product Name,Category,Units Sold,Unit Price,Total Revenue,Discount Applied,Store Location,Channel,Date of Sale,Day,Month,Year,Weather,Holiday
T00034,Widget A,Tools,3,4830.31,14490.93,20%,Hyderabad,Online,2023-06-20,20,June,2023,Windy,Yes
T00035,Device M,Groceries,11,520.23,5722.53,20%,Ahmedabad,Online,2022-01-22,22,January,2022,Sunny,Yes
T00036,Tool Z,Electronics,12,2838.13,34057.56,5%,Kolkata,Online,2022-06-08,8,June,2022,Cloudy,Yes
T00037,Widget A,Tools,12,1809.16,21709.92,20%,Kolkata,Offline,2024-05-04,4,May,2024,Foggy,Yes
T00038,Device M,Tools,15,1048.76,15731.4,5%,Mumbai,Offline,2022-03-29,29,March,2022,Sunny,Yes
T00039,Gadget Y,Home Appliances,6,3628.89,21773.34,15%,Kolkata,Online,2024-05-20,20,May,2024,Rainy,No
T00040,Gadget X,Electronics,8,3286.68,26293.44,10%,Hyderabad,Online,2024-11-07,7,November,2024,Cloudy,No
T00041,Widget B,Home Appliances,9,3259.62,29336.58,0%,Mumbai,Online,2023-01-10,10,January,2023,Rainy,Yes
T00042,Gadget X,Tools,6,4008.93,24053.58,5%,Mumbai,Offline,2023-11-16,16,November,2023,Sunny,Yes
T00043,Tool Z,Groceries,8,3442.69,27541.52,5%,Kolkata,Online,2022-10-10,10,October,2022,Cloudy,No
T00044,Widget A,Tools,17,4601.24,78221.08,15%,Chennai,Online,2024-09-08,8,September,2024,Cloudy,No
T00045,Device M,Tools,13,4040.27,52523.51,20%,Mumbai,Online,2022-03-18,18,March,2022,Rainy,No
T00046,Widget A,Electronics,14,1747.3,24462.2,20%,Kolkata,Offline,2024-07-12,12,July,2024,Cloudy,No
T00047,Widget A,Toys,11,910.47,10015.17,5%,Bengaluru,Offline,2024-06-04,4,June,2024,Cloudy,No
T00048,Widget B,Toys,10,3126.12,31261.2,20%,Delhi,Offline,2023-08-28,28,August,2023,Foggy,Yes
T00049,Widget A,Tools,19,524.71,9969.49,10%,Delhi,Offline,2023-07-21,21,July,2023,Windy,Yes
T00050,Widget B,Tools,8,373.99,2991.92,15%,Mumbai,Online,2024-11-27,27,November,2024,Foggy,Yes
T00051,Tool Z,Toys,17,4805.78,81698.26,10%,Pune,Offline,2023-05-23,23,May,2023,Windy,Yes
T00052,Widget B,Groceries,16,3485.52,55768.32,10%,Hyderabad,Online,2023-03-28,28,March,2023,Sunny,No
T00053,Gadget Y,Electronics,4,4931.8,19727.2,20%,Hyderabad,Offline,2022-03-02,2,March,2022,Cloudy,No
T00054,Tool Z,Home Appliances,16,4366.09,69857.44,0%,Mumbai,Offline,2023-02-16,16,February,2023,Cloudy,No
T00055,Widget A,Electronics,17,4501.61,76527.37,15%,Bengaluru,Online,2023-07-17,17,July,2023,Windy,Yes
T00056,Widget B,Tools,8,2882.5,23060.0,0%,Kolkata,Offline,2022-05-11,11,May,2022,Sunny,Yes
T00057,Gadget Y,Toys,19,468.83,8907.77,10%,Pune,Online,2023-05-03,3,May,2023,Windy,Yes
T00058,Gadget X,Groceries,19,1969.97,37429.43,10%,Mumbai,Offline,2022-09-29,29,September,2022,Cloudy,No
T00059,Gadget X,Home Appliances,16,1098.4,17574.4,0%,Hyderabad,Offline,2023-05-05,5,May,2023,Windy,No
T00060,Widget A,Home Appliances,11,2315.05,25465.55,20%,Bengaluru,Offline,2024-06-15,15,June,2024,Cloudy,Yes
T00061,Gadget Y,Electronics,11,600.27,6602.97,5%,Pune,Online,2023-02-22,22,February,2023,Sunny,No
T00062,Device M,Tools,18,3498.3,62969.4,10%,Bengaluru,Online,2023-08-14,14,August,2023,Foggy,No
T00063,Widget A,Groceries,4,3560.72,14242.88,15%,Ahmedabad,Online,2024-01-02,2,January,2024,Rainy,Yes
T00064,Device M,Toys,9,2882.48,25942.32,5%,Mumbai,Offline,2024-02-15,15,February,2024,Sunny,Yes
T00065,Widget A,Groceries,2,3590.26,7180.52,0%,Mumbai,Online,2022-08-31,31,August,2022,Sunny,No
T00066,Device M,Tools,3,2115.9,6347.7,20%,Mumbai,Online,2022-08-08,8,August,2022,Windy,No
T00067,Widget A,Home Appliances,14,153.51,2149.14,5%,Pune,Online,2022-02-27,27,February,2022,Rainy,Yes
T00068,Device M,Home Appliances,16,2809.93,44958.88,0%,Pune,Online,2024-04-05,5,April,2024,Windy,No
T00069,Widget B,Electronics,10,3851.1,38511.0,0%,Delhi,Online,2022-12-13,13,December,2022,Windy,No
T00070,Gadget X,Groceries,5,153.93,769.65,20%,Kolkata,Offline,2024-09-22,22,September,2024,Rainy,No
T00071,Widget A,Electronics,1,1823.12,1823.12,0%,Mumbai,Online,2023-12-21,21,December,2023,Windy,No
T00072,Gadget Y,Home Appliances,19,1235.49,23474.31,20%,Chennai,Online,2023-06-22,22,June,2023,Rainy,Yes
T00073,Widget A,Groceries,4,810.17,3240.68,0%,Kolkata,Online,2022-05-22,22,May,2022,Sunny,No
T00074,Gadget X,Tools,12,2117.81,25413.72,0%,Bengaluru,Online,2022-08-18,18,August,2022,Foggy,No
T00075,Device M,Groceries,15,671.43,10071.45,0%,Chennai,Offline,2023-05-27,27,May,2023,Sunny,No
T00076,Device M,Home Appliances,14,2484.88,34788.32,5%,Bengaluru,Offline,2024-08-15,15,August,2024,Foggy,Yes
T00077,Widget A,Home Appliances,10,2400.37,24003.7,15%,Kolkata,Offline,2023-10-28,28,October,2023,Foggy,No
T00078,Gadget X,Home Appliances,9,2077.61,18698.49,20%,Pune,Offline,2024-07-20,20,July,2024,Windy,No
T00079,Tool Z,Home Appliances,17,908.97,15452.49,15%,Delhi,Online,2022-10-14,14,October,2022,Windy,Yes
T00080,Tool Z,Home Appliances,10,143.16,1431.6,15%,Mumbai,Offline,2024-05-26,26,May,2024,Windy,No
T00081,Gadget Y,Electronics,6,4434.83,26608.98,0%,Mumbai,Online,2022-04-27,27,April,2022,Sunny,No
T00082,Gadget Y,Groceries,3,588.63,1765.89,20%,Chennai,Online,2022-06-19,19,June,2022,Windy,No
T00083,Widget B,Home Appliances,17,2772.58,47133.86,15%,Kolkata,Offline,2022-06-30,30,June,2022,Windy,No
T00084,Widget A,Tools,2,3300.07,6600.14,0%,Hyderabad,Offline,2024-10-30,30,October,2024,Cloudy,No
T00085,Widget A,Groceries,9,4615.85,41542.65,10%,Delhi,Online,2024-11-11,11,November,2024,Cloudy,Yes
T00086,Gadget X,Toys,16,2236.27,35780.32,20%,Chennai,Online,2023-06-21,21,June,2023,Rainy,Yes
T00087,Gadget X,Electronics,16,1345.79,21532.64,5%,Ahmedabad,Offline,2023-09-18,18,September,2023,Windy,Yes
T00088,Gadget X,Tools,13,2803.59,36446.67,0%,Mumbai,Online,2024-03-26,26,March,2024,Rainy,No
T00089,Tool Z,Electronics,6,3442.11,20652.66,5%,Mumbai,Offline,2023-07-21,21,July,2023,Cloudy,Yes
T00090,Widget A,Toys,10,1542.99,15429.9,20%,Mumbai,Online,2023-12-05,5,December,2023,Sunny,No
T00091,Gadget X,Electronics,7,2527.22,17690.54,20%,Mumbai,Offline,2024-08-26,26,August,2024,Windy,Yes
T00092,Tool Z,Tools,8,2694.94,21559.52,20%,Hyderabad,Offline,2023-11-29,29,November,2023,Windy,Yes
T00093,Widget A,Tools,7,4217.49,29522.43,5%,Mumbai,Offline,2023-03-29,29,March,2023,Sunny,No
T00094,Device M,Groceries,8,1811.3,14490.4,15%,Delhi,Online,2023-02-17,17,February,2023,Windy,No
T00095,Tool Z,Tools,16,734.46,11751.36,5%,Pune,Online,2022-03-04,4,March,2022,Sunny,Yes
T00096,Gadget Y,Toys,13,3055.05,39715.65,10%,Chennai,Online,2023-03-18,18,March,2023,Cloudy,Yes
T00097,Gadget X,Home Appliances,18,624.16,11234.88,0%,Delhi,Offline,2022-07-03,3,July,2022,Windy,No
T00098,Device M,Toys,16,2899.08,46385.28,5%,Pune,Offline,2022-01-04,4,January,2022,Rainy,Yes
T00099,Gadget X,Electronics,17,2497.36,42455.12,15%,Delhi,Offline,2024-01-03,3,January,2024,Cloudy,Yes
T00100,Tool Z,Home Appliances,12,1085.59,13027.08,10%,Bengaluru,Offline,2023-02-03,3,February,2023,Cloudy,Yes
T00101,Widget B,Toys,12,3207.17,38486.04,5%,Chennai,Offline,2022-04-30,30,April,2022,Rainy,Yes
T00102,Tool Z,Electronics,18,229.25,4126.5,15%,Mumbai,Online,2024-01-11,11,January,2024,Cloudy,Yes
T00103,Gadget Y,Groceries,11,364.05,4004.55,10%,Ahmedabad,Online,2022-10-24,24,October,2022,Sunny,Yes
T00104,Widget A,Electronics,4,3498.43,13993.72,15%,Mumbai,Offline,2023-03-27,27,March,2023,Cloudy,No
T00105,Device M,Electronics,10,2401.93,24019.3,15%,Bengaluru,Online,2023-07-14,14,July,2023,Rainy,No
T00106,Widget A,Toys,14,1399.96,19599.44,15%,Hyderabad,Offline,2024-07-29,29,July,2024,Cloudy,Yes
T00107,Widget B,Tools,17,4744.56,80657.52,20%,Pune,Online,2022-08-21,21,August,2022,Cloudy,Yes
T00108,Tool Z,Tools,9,494.11,4446.99,20%,Ahmedabad,Offline,2024-11-30,30,November,2024,Foggy,Yes
T00109,Widget B,Home Appliances,18,4366.56,78598.08,15%,Kolkata,Offline,2022-04-07,7,April,2022,Cloudy,No
T00110,Gadget Y,Toys,15,1556.82,23352.3,15%,Bengaluru,Offline,2024-11-08,8,November,2024,Windy,No
T00111,Widget B,Tools,8,3194.02,25552.16,0%,Hyderabad,Online,2022-03-31,31,March,2022,Rainy,No
T00112,Tool Z,Electronics,18,4318.93,77740.74,0%,Ahmedabad,Offline,2022-05-09,9,May,2022,Rainy,Yes
T00113,Widget A,Electronics,18,759.9,13678.2,10%,Chennai,Offline,2023-08-22,22,August,2023,Windy,No
T00114,Widget A,Electronics,14,3591.44,50280.16,10%,Pune,Online,2022-01-11,11,January,2022,Rainy,Yes
T00115,Gadget Y,Toys,13,1299.23,16889.99,10%,Bengaluru,Offline,2023-08-13,13,August,2023,Foggy,No
T00116,Gadget X,Groceries,14,3078.12,43093.68,20%,Hyderabad,Offline,2023-05-30,30,May,2023,Windy,Yes
T00117,Tool Z,Groceries,2,2628.76,5257.52,0%,Chennai,Online,2024-04-27,27,April,2024,Sunny,Yes
T00118,Device M,Groceries,11,2811.1,30922.1,15%,Mumbai,Offline,2024-02-27,27,February,2024,Rainy,Yes
T00119,Widget A,Groceries,13,875.87,11386.31,20%,Kolkata,Offline,2024-12-05,5,December,2024,Windy,No
T00120,Gadget Y,Electronics,7,699.82,4898.74,15%,Bengaluru,Online,2023-12-23,23,December,2023,Windy,Yes
T00121,Widget B,Home Appliances,9,3055.15,27496.35,0%,Pune,Online,2024-04-04,4,April,2024,Sunny,Yes
T00122,Gadget X,Electronics,11,4929.23,54221.53,5%,Hyderabad,Online,2022-10-05,5,October,2022,Sunny,No
T00123,Widget B,Tools,14,1512.86,21180.04,5%,Delhi,Offline,2022-07-24,24,July,2022,Sunny,No
T00124,Gadget Y,Tools,8,74.92,599.36,0%,Pune,Online,2023-10-16,16,October,2023,Windy,No
T00125,Widget A,Groceries,3,3386.67,10160.01,0%,Chennai,Offline,2022-02-28,28,February,2022,Cloudy,No
T00126,Tool Z,Electronics,7,3476.02,24332.14,15%,Ahmedabad,Offline,2022-06-09,9,June,2022,Sunny,Yes
T00127,Widget B,Home Appliances,16,957.52,15320.32,10%,Chennai,Online,2022-10-10,10,October,2022,Cloudy,No
T00128,Tool Z,Tools,7,930.94,6516.58,15%,Ahmedabad,Offline,2024-09-15,15,September,2024,Sunny,No
T00129,Gadget Y,Tools,3,2191.24,6573.72,0%,Pune,Online,2024-08-31,31,August,2024,Cloudy,No
T00130,Device M,Toys,8,1801.68,14413.44,0%,Pune,Online,2022-03-12,12,March,2022,Windy,Yes
T00131,Device M,Tools,3,726.85,2180.55,10%,Chennai,Online,2023-07-28,28,July,2023,Foggy,No
T00132,Widget A,Electronics,13,4478.99,58226.87,0%,Ahmedabad,Online,2024-05-17,17,May,2024,Cloudy,Yes
T00133,Tool Z,Toys,18,3550.92,63916.56,10%,Kolkata,Online,2023-06-19,19,June,2023,Cloudy,No
T00134,Tool Z,Home Appliances,4,1441.29,5765.16,20%,Pune,Online,2023-04-21,21,April,2023,Foggy,Yes
T00135,Gadget X,Electronics,4,881.48,3525.92,15%,Ahmedabad,Online,2023-09-26,26,September,2023,Foggy,No
T00136,Device M,Home Appliances,19,3313.84,62962.96,15%,Chennai,Online,2023-05-18,18,May,2023,Windy,Yes
T00137,Device M,Tools,9,4707.12,42364.08,10%,Kolkata,Online,2022-06-04,4,June,2022,Foggy,No
T00138,Tool Z,Groceries,13,2744.28,35675.64,15%,Ahmedabad,Online,2024-10-16,16,October,2024,Foggy,No
T00139,Widget B,Groceries,8,801.37,6410.96,5%,Kolkata,Online,2022-10-09,9,October,2022,Rainy,No
T00140,Widget B,Toys,1,4105.85,4105.85,10%,Bengaluru,Offline,2024-07-22,22,July,2024,Rainy,Yes
T00141,Widget A,Tools,5,890.02,4450.1,0%,Pune,Offline,2024-12-13,13,December,2024,Sunny,Yes
T00142,Widget B,Electronics,17,3251.66,55278.22,10%,Chennai,Online,2024-04-27,27,April,2024,Windy,No
T00143,Device M,Electronics,4,2457.9,9831.6,10%,Mumbai,Online,2024-12-14,14,December,2024,Rainy,No
T00144,Tool Z,Groceries,16,381.2,6099.2,15%,Ahmedabad,Offline,2022-08-18,18,August,2022,Rainy,Yes
T00145,Tool Z,Toys,15,1406.77,21101.55,10%,Kolkata,Offline,2022-10-27,27,October,2022,Rainy,Yes
T00146,Gadget Y,Groceries,6,3245.62,19473.72,5%,Hyderabad,Online,2023-12-14,14,December,2023,Sunny,Yes
T00147,Gadget X,Home Appliances,7,513.79,3596.53,5%,Mumbai,Offline,2024-08-16,16,August,2024,Cloudy,No
T00148,Widget B,Home Appliances,13,3756.74,48837.62,20%,Ahmedabad,Offline,2022-02-01,1,February,2022,Sunny,Yes
T00149,Gadget X,Electronics,19,2664.07,50617.33,0%,Chennai,Online,2023-02-14,14,February,2023,Windy,Yes
T00150,Device M,Home Appliances,14,2754.71,38565.94,5%,Delhi,Online,2022-06-25,25,June,2022,Sunny,No
T00151,Gadget Y,Groceries,9,4060.15,36541.35,20%,Hyderabad,Online,2024-08-31,31,August,2024,Sunny,Yes
T00152,Device M,Toys,14,395.25,5533.5,10%,Chennai,Offline,2023-08-15,15,August,2023,Sunny,Yes
T00153,Gadget Y,Toys,5,514.5,2572.5,10%,Pune,Offline,2023-06-30,30,June,2023,Sunny,Yes
T00154,Device M,Toys,16,711.27,11380.32,10%,Pune,Offline,2022-01-14,14,January,2022,Rainy,No
T00155,Widget A,Home Appliances,8,97.67,781.36,5%,Bengaluru,Online,2024-03-11,11,March,2024,Foggy,No
T00156,Tool Z,Tools,8,4351.32,34810.56,10%,Pune,Offline,2022-09-29,29,September,2022,Windy,Yes
T00157,Gadget Y,Home Appliances,2,3486.36,6972.72,5%,Hyderabad,Online,2022-10-13,13,October,2022,Windy,No
T00158,Device M,Toys,3,74.78,224.34,20%,Hyderabad,Offline,2022-05-14,14,May,2022,Windy,Yes
T00159,Widget B,Electronics,10,476.69,4766.9,0%,Hyderabad,Online,2023-06-24,24,June,2023,Cloudy,No
T00160,Tool Z,Home Appliances,1,4728.95,4728.95,20%,Ahmedabad,Online,2022-12-22,22,December,2022,Sunny,No
T00161,Device M,Groceries,11,189.03,2079.33,15%,Ahmedabad,Offline,2024-02-27,27,February,2024,Rainy,No
T00162,Device M,Home Appliances,2,3876.43,7752.86,5%,Delhi,Offline,2022-08-14,14,August,2022,Foggy,No
T00163,Widget B,Electronics,17,4098.29,69670.93,20%,Hyderabad,Online,2023-06-04,4,June,2023,Cloudy,Yes
T00164,Gadget X,Toys,15,3263.67,48955.05,15%,Mumbai,Online,2022-08-30,30,August,2022,Sunny,No
T00165,Device M,Home Appliances,1,1497.68,1497.68,0%,Bengaluru,Online,2024-09-14,14,September,2024,Rainy,Yes
T00166,Gadget X,Groceries,1,266.79,266.79,5%,Bengaluru,Offline,2023-07-14,14,July,2023,Cloudy,Yes
T00167,Gadget Y,Home Appliances,9,1487.93,13391.37,5%,Kolkata,Offline,2022-05-23,23,May,2022,Cloudy,No
T00168,Widget B,Toys,18,2567.09,46207.62,20%,Delhi,Online,2023-10-12,12,October,2023,Cloudy,Yes
T00169,Gadget X,Electronics,7,760.53,5323.71,5%,Hyderabad,Offline,2023-10-14,14,October,2023,Foggy,Yes
T00170,Tool Z,Home Appliances,1,4913.06,4913.06,5%,Ahmedabad,Online,2024-05-23,23,May,2024,Foggy,No
T00171,Gadget Y,Tools,10,4748.27,47482.7,5%,Kolkata,Offline,2022-01-16,16,January,2022,Windy,No
T00172,Widget B,Tools,6,4645.17,27871.02,20%,Ahmedabad,Offline,2023-07-23,23,July,2023,Sunny,No
T00173,Tool Z,Electronics,5,1388.36,6941.8,0%,Ahmedabad,Online,2023-10-22,22,October,2023,Foggy,No
T00174,Gadget X,Electronics,9,3232.31,29090.79,5%,Pune,Offline,2023-03-06,6,March,2023,Foggy,No
T00175,Gadget Y,Tools,13,708.24,9207.12,5%,Delhi,Online,2022-09-12,12,September,2022,Cloudy,Yes
T00176,Tool Z,Tools,9,2599.35,23394.15,10%,Ahmedabad,Online,2022-05-07,7,May,2022,Cloudy,No
T00177,Widget A,Toys,4,1986.77,7947.08,20%,Hyderabad,Offline,2023-11-11,11,November,2023,Cloudy,No
T00178,Gadget X,Toys,12,1543.77,18525.24,0%,Hyderabad,Online,2022-01-06,6,January,2022,Foggy,Yes
T00179,Tool Z,Electronics,8,157.59,1260.72,5%,Delhi,Offline,2023-07-18,18,July,2023,Cloudy,Yes
T00180,Device M,Groceries,4,3817.58,15270.32,20%,Hyderabad,Online,2022-08-26,26,August,2022,Rainy,Yes
T00181,Gadget Y,Groceries,3,279.77,839.31,0%,Chennai,Offline,2022-09-19,19,September,2022,Foggy,Yes
T00182,Widget B,Toys,16,4752.29,76036.64,10%,Hyderabad,Offline,2023-08-27,27,August,2023,Windy,No
T00183,Gadget X,Home Appliances,16,1287.54,20600.64,10%,Hyderabad,Offline,2022-10-16,16,October,2022,Cloudy,No
T00184,Device M,Groceries,17,2468.51,41964.67,0%,Bengaluru,Online,2022-02-09,9,February,2022,Foggy,Yes
T00185,Widget B,Groceries,18,3809.49,68570.82,20%,Pune,Online,2023-04-05,5,April,2023,Rainy,No
T00186,Device M,Groceries,2,3959.55,7919.1,5%,Kolkata,Online,2023-03-13,13,March,2023,Foggy,No
T00187,Gadget X,Electronics,15,1602.51,24037.65,5%,Chennai,Offline,2022-02-08,8,February,2022,Sunny,No
T00188,Widget A,Groceries,15,4018.47,60277.05,5%,Delhi,Offline,2024-09-21,21,September,2024,Windy,Yes
T00189,Device M,Tools,5,2453.67,12268.35,10%,Delhi,Online,2024-02-22,22,February,2024,Foggy,Yes
T00190,Widget A,Tools,6,4234.48,25406.88,20%,Ahmedabad,Offline,2022-04-17,17,April,2022,Cloudy,Yes
T00191,Device M,Electronics,15,4295.17,64427.55,5%,Delhi,Online,2024-09-13,13,September,2024,Foggy,Yes
T00192,Tool Z,Tools,10,1337.89,13378.9,15%,Bengaluru,Online,2022-01-12,12,January,2022,Cloudy,No
T00193,Device M,Toys,17,3701.75,62929.75,10%,Chennai,Online,2023-06-19,19,June,2023,Cloudy,No
T00194,Tool Z,Groceries,12,4625.81,55509.72,10%,Kolkata,Offline,2024-06-07,7,June,2024,Sunny,Yes
T00195,Tool Z,Tools,12,1068.13,12817.56,20%,Delhi,Offline,2023-02-28,28,February,2023,Cloudy,Yes
T00196,Widget B,Toys,15,1655.75,24836.25,5%,Bengaluru,Online,2022-09-16,16,September,2022,Rainy,No
T00197,Gadget X,Home Appliances,4,4888.3,19553.2,0%,Chennai,Offline,2023-11-24,24,November,2023,Foggy,No
T00198,Gadget X,Tools,1,2629.26,2629.26,15%,Bengaluru,Offline,2023-06-29,29,June,2023,Sunny,Yes
T00199,Widget B,Groceries,15,4620.8,69312.0,5%,Kolkata,Offline,2023-08-30,30,August,2023,Windy,Yes
T00200,Device M,Electronics,12,4160.12,49921.44,10%,Chennai,Offline,2024-07-30,30,July,2024,Rainy,No
T00201,Gadget X,Toys,14,4671.78,65404.92,5%,Pune,Online,2022-07-10,10,July,2022,Foggy,No
T00202,Device M,Home Appliances,4,4575.53,18302.12,15%,Mumbai,Online,2023-02-11,11,February,2023,Sunny,No
T00203,Widget A,Toys,18,1363.2,24537.6,5%,Chennai,Offline,2022-04-22,22,April,2022,Sunny,No
T00204,Gadget Y,Tools,17,1834.03,31178.51,20%,Kolkata,Offline,2023-01-02,2,January,2023,Rainy,Yes
T00205,Widget B,Electronics,12,3719.46,44633.52,0%,Chennai,Online,2024-05-19,19,May,2024,Cloudy,Yes
T00206,Widget B,Electronics,19,2088.47,39680.93,15%,Pune,Offline,2024-01-20,20,January,2024,Rainy,No
T00207,Gadget Y,Tools,15,1436.94,21554.1,10%,Kolkata,Online,2023-02-11,11,February,2023,Windy,Yes
T00208,Widget A,Toys,11,2607.69,28684.59,10%,Bengaluru,Offline,2022-05-02,2,May,2022,Rainy,Yes
T00209,Widget B,Tools,3,886.84,2660.52,20%,Mumbai,Online,2022-06-12,12,June,2022,Foggy,Yes
T00210,Tool Z,Groceries,5,4116.49,20582.45,20%,Ahmedabad,Online,2024-06-08,8,June,2024,Foggy,No
T00211,Widget B,Home Appliances,7,262.54,1837.78,15%,Chennai,Offline,2024-02-19,19,February,2024,Cloudy,Yes
T00212,Widget A,Tools,8,4062.65,32501.2,20%,Pune,Offline,2024-12-09,9,December,2024,Cloudy,Yes
T00213,Tool Z,Groceries,16,4226.95,67631.2,15%,Mumbai,Online,2022-12-07,7,December,2022,Sunny,Yes
T00214,Tool Z,Tools,17,444.25,7552.25,10%,Kolkata,Offline,2024-11-23,23,November,2024,Foggy,Yes
T00215,Gadget X,Electronics,15,2567.55,38513.25,15%,Pune,Offline,2023-04-02,2,April,2023,Sunny,Yes
T00216,Widget B,Toys,16,3825.68,61210.88,5%,Ahmedabad,Offline,2023-08-06,6,August,2023,Sunny,Yes
T00217,Gadget Y,Tools,2,116.08,232.16,10%,Bengaluru,Offline,2024-03-28,28,March,2024,Cloudy,No
T00218,Gadget X,Groceries,5,4357.93,21789.65,20%,Mumbai,Online,2024-02-09,9,February,2024,Rainy,No
T00219,Device M,Electronics,8,985.78,7886.24,5%,Bengaluru,Online,2024-08-12,12,August,2024,Foggy,Yes
T00220,Widget A,Home Appliances,14,1171.32,16398.48,15%,Kolkata,Offline,2022-12-13,13,December,2022,Sunny,Yes
T00221,Widget B,Tools,1,3838.25,3838.25,5%,Ahmedabad,Offline,2023-01-12,12,January,2023,Cloudy,No
T00222,Gadget X,Tools,7,4281.09,29967.63,15%,Delhi,Offline,2022-12-08,8,December,2022,Sunny,Yes
T00223,Tool Z,Home Appliances,6,1910.6,11463.6,5%,Ahmedabad,Online,2022-02-09,9,February,2022,Foggy,Yes
T00224,Widget A,Tools,18,3101.92,55834.56,15%,Mumbai,Offline,2023-10-30,30,October,2023,Sunny,No
T00225,Widget B,Tools,11,1423.3,15656.3,15%,Bengaluru,Offline,2023-07-05,5,July,2023,Windy,Yes
T00226,Widget A,Home Appliances,10,2289.52,22895.2,10%,Kolkata,Online,2022-08-14,14,August,2022,Rainy,Yes
T00227,Device M,Toys,9,3071.02,27639.18,15%,Ahmedabad,Offline,2022-02-20,20,February,2022,Rainy,No
T00228,Gadget X,Electronics,7,3394.24,23759.68,5%,Bengaluru,Online,2024-11-03,3,November,2024,Sunny,No
